run_id,experiment,task,peft_method,precision,lora_rank,prefix_num_virtual_tokens,seed,max_steps,learning_rate,per_device_train_batch_size,gradient_accumulation_steps,max_seq_length,task_acc,task_acc_norm,eval_n,trainable_params,total_params,trainable_pct,peak_vram_gb,train_seconds,eval_seconds,train_tokens_per_sec,acc_per_param,acc_per_gpu_hour
exp1__lora_r16__gsm8k__seed0,exp1,gsm8k,lora,bf16,16,,0,3000,0.0002,4,8,512,0.524,,500,2179072,1545893376,0.1409587513492263,11.962366464,2462.3514941991307,1076.3971258685924,7255.1469772232595,2.4046933740601504e-07,0.7660969623727678
exp1__lora_r16__gsm8k__seed1,exp1,gsm8k,lora,bf16,16,,1,3000,0.0002,4,8,512,0.512,,500,2179072,1545893376,0.1409587513492263,11.990350336,2402.849030248821,1093.4616181086749,7434.808335898683,2.349624060150376e-07,0.767089391300265
exp1__lora_r16__hellaswag__seed0,exp1,hellaswag,lora,bf16,16,,0,2000,0.0002,8,4,256,0.489,0.612,2000,2179072,1545893376,0.1409587513492263,8.268030976,709.3588773887604,46.969541342929006,6984.5294926572,2.808535009398496e-07,3.1059031898074743
exp1__lora_r16__hellaswag__seed1,exp1,hellaswag,lora,bf16,16,,1,2000,0.0002,8,4,256,0.487,0.6125,2000,2179072,1545893376,0.1409587513492263,8.268030976,743.1312192995101,46.6923780888319,6667.110560460968,2.810829564144737e-07,2.9671744945374194
exp1__lora_r16__hellaswag__seed2,exp1,hellaswag,lora,bf16,16,,2,2000,0.0002,8,4,256,0.487,0.612,2000,2179072,1545893376,0.1409587513492263,8.268030976,824.8725221809,49.88629054091871,6006.4287108274375,2.808535009398496e-07,2.6709581671782536
exp1__lora_r16__sst2__seed0,exp1,sst2,lora,bf16,16,,0,1000,0.0002,16,2,128,0.9587155963302753,0.9587155963302753,872,2179072,1545893376,0.1409587513492263,7.872082432,184.79202748835087,18.53778912127018,3246.8879104528655,4.3996508437090434e-07,18.677083604196955
exp1__lora_r16__sst2__seed1,exp1,sst2,lora,bf16,16,,1,1000,0.0002,16,2,128,0.9587155963302753,0.9587155963302753,872,2179072,1545893376,0.1409587513492263,7.863361536,169.90470074303448,20.00003276951611,3531.385520094846,4.3996508437090434e-07,20.31360010461915
exp1__lora_r16__sst2__seed2,exp1,sst2,lora,bf16,16,,2,1000,0.0002,16,2,128,0.9564220183486238,0.9564220183486238,872,2179072,1545893376,0.1409587513492263,7.804250112,171.9857966620475,17.701842607930303,3488.654363586776,4.389125363221701e-07,20.019788452768474
exp1__lora_r16__gsm8k__seed2,exp1,gsm8k,lora,bf16,16,,2,3000,0.0002,4,8,512,0.522,,500,2179072,1545893376,0.1409587513492263,11.974584832,2682.5397061589174,1083.1809444120154,6659.630036037822,2.395515155075188e-07,0.7005301713467624
exp1__lora_r32__gsm8k__seed0,exp1,gsm8k,lora,bf16,32,,0,3000,0.0002,4,8,512,0.484,,500,4358144,1548072448,0.28152067467064695,12.005161472,2530.4143595322967,1115.5633296538144,7059.998664922999,1.1105644971804512e-07,0.6885828771229595
exp1__lora_r32__gsm8k__seed1,exp1,gsm8k,lora,bf16,32,,1,3000,0.0002,4,8,512,0.522,,500,4358144,1548072448,0.28152067467064695,12.033145344,2629.868678305298,1070.8571611549705,6793.009151891237,1.197757577537594e-07,0.714560394403787
exp1__lora_r32__hellaswag__seed0,exp1,hellaswag,lora,bf16,32,,0,2000,0.0002,8,4,256,0.49,0.617,2000,4358144,1548072448,0.28152067467064695,8.309277696,703.7812149859965,45.80683289794251,7039.883836766776,1.415740278430451e-07,3.156094468995164
exp1__lora_r32__hellaswag__seed1,exp1,hellaswag,lora,bf16,32,,1,2000,0.0002,8,4,256,0.491,0.6125,2000,4358144,1548072448,0.28152067467064695,8.309277696,707.3591625038534,46.86051646107808,7004.2748615319015,1.4054147820723686e-07,3.1172283005353565
exp1__lora_r32__hellaswag__seed2,exp1,hellaswag,lora,bf16,32,,2,2000,0.0002,8,4,256,0.4945,0.6215,2000,4358144,1548072448,0.28152067467064695,8.309277696,707.341083610896,45.863441871944815,7004.453883418796,1.426065774788534e-07,3.1631133152599125
exp1__lora_r32__sst2__seed0,exp1,sst2,lora,bf16,32,,0,1000,0.0002,16,2,128,0.9587155963302753,0.9587155963302753,872,4358144,1548072448,0.28152067467064695,7.913185792,171.79653791897,17.819466900080442,3492.4976211278317,2.1998254218545217e-07,20.089905120305023
exp1__lora_r32__sst2__seed1,exp1,sst2,lora,bf16,32,,1,1000,0.0002,16,2,128,0.9621559633027523,0.9621559633027523,872,4358144,1548072448,0.28152067467064695,7.895748608,173.54968468518928,17.924568806309253,3457.2174595901406,2.2077195322200284e-07,19.958327634953665
exp1__lora_r32__gsm8k__seed2,exp1,gsm8k,lora,bf16,32,,2,3000,0.0002,4,8,512,0.508,,500,4358144,1548072448,0.28152067467064695,12.01737984,2457.325514016673,1195.480053037405,7269.985965676498,1.1656338110902255e-07,0.7442237463325307
exp1__lora_r32__sst2__seed2,exp1,sst2,lora,bf16,32,,2,1000,0.0002,16,2,128,0.9506880733944955,0.9506880733944955,872,4358144,1548072448,0.28152067467064695,7.8453248,160.0141955348663,16.766199392732233,3749.661072221953,2.1814058310016727e-07,21.38858401143818
exp1__lora_r4__gsm8k__seed0,exp1,gsm8k,lora,bf16,4,,0,3000,0.0002,4,8,512,0.546,,500,544768,1544259072,0.03527698233266393,11.930270208,2442.1727129574865,1131.1070771533996,7315.093607104352,1.0022615131578947e-06,0.8048570805705408
exp1__lora_r4__gsm8k__seed1,exp1,gsm8k,lora,bf16,4,,1,3000,0.0002,4,8,512,0.558,,500,544768,1544259072,0.03527698233266393,11.95825408,2473.989195236936,1108.4049608400092,7221.018602019028,1.0242892387218046e-06,0.811967976201131
exp1__lora_r4__hellaswag__seed0,exp1,hellaswag,lora,bf16,4,,0,2000,0.0002,8,4,256,0.482,0.604,2000,544768,1544259072,0.03527698233266393,8.2370816,694.4390542078763,45.064142575953156,7134.590098264963,1.1087288533834586e-06,3.1311603038804696
exp1__lora_r4__hellaswag__seed1,exp1,hellaswag,lora,bf16,4,,1,2000,0.0002,8,4,256,0.4805,0.595,2000,544768,1544259072,0.03527698233266393,8.2370816,699.5666779400781,45.59990433603525,7082.295592736029,1.0922080592105262e-06,3.0618954097517417
exp1__lora_r4__hellaswag__seed2,exp1,hellaswag,lora,bf16,4,,2,2000,0.0002,8,4,256,0.48,0.605,2000,544768,1544259072,0.03527698233266393,8.2370816,724.5458955429494,50.130557637196034,6838.128585749895,1.1105644971804511e-06,3.0060207550660163
exp1__lora_r4__sst2__seed0,exp1,sst2,lora,bf16,4,,0,1000,0.0002,16,2,128,0.9506880733944955,0.9506880733944955,872,544768,1544259072,0.03527698233266393,7.841276416,171.05389744834974,17.52607924863696,3507.660503211694,1.7451246648013382e-06,20.00817938248739
exp1__lora_r4__sst2__seed2,exp1,sst2,lora,bf16,4,,2,1000,0.0002,16,2,128,0.9541284403669725,0.9541284403669725,872,544768,1544259072,0.03527698233266393,7.773444096,173.49401250481606,17.303672888781875,3458.326839857626,1.7514399530937435e-06,19.79816096089052
exp1__lora_r4__gsm8k__seed2,exp1,gsm8k,lora,bf16,4,,2,3000,0.0002,4,8,512,0.552,,500,544768,1544259072,0.03527698233266393,11.942488576,2447.1192324347794,1168.9958040490746,7300.307137967022,1.0132753759398498e-06,0.8120568763716596
exp1__lora_r64__gsm8k__seed0,exp1,gsm8k,lora,bf16,64,,0,3000,0.0002,4,8,512,0.486,,500,8716288,1552430592,0.5614607213305933,12.090751488,2523.8611591202207,1093.7469931929372,7078.329937224981,5.5757680333646615e-08,0.6932235529984081
exp1__lora_r64__gsm8k__seed1,exp1,gsm8k,lora,bf16,64,,1,3000,0.0002,4,8,512,0.462,,500,8716288,1552430592,0.5614607213305933,12.11873536,2448.734251599759,1205.3752512875944,7295.492350110663,5.3004214638157896e-08,0.6792080434671223
exp1__lora_r64__hellaswag__seed0,exp1,hellaswag,lora,bf16,64,,0,2000,0.0002,8,4,256,0.496,0.622,2000,8716288,1552430592,0.5614607213305933,8.391799808,719.9884399864823,46.63112657517195,6881.413262819916,7.136065260808271e-08,3.11004993363788
exp1__lora_r64__hellaswag__seed1,exp1,hellaswag,lora,bf16,64,,1,2000,0.0002,8,4,256,0.4965,0.617,2000,8716288,1552430592,0.5614607213305933,8.391799808,705.5286150444299,46.941514045000076,7022.447983471221,7.078701392152255e-08,3.148277692266418
exp1__lora_r64__hellaswag__seed2,exp1,hellaswag,lora,bf16,64,,2,2000,0.0002,8,4,256,0.498,0.6215,2000,8716288,1552430592,0.5614607213305933,8.391799808,728.9395781550556,46.79132797010243,6796.911772221127,7.13032887394267e-08,3.06939020331816
